,Name,Place,Number of Review(s),Date,Stars,Title,Review
582,David Cancel,US,1 review,"Saturday, August 28, 2021, 04:38:56 AM",1,Sad Veteran,"As I see the news of Air Bnb housing 20,000 Afghanistan refugees, I can't help but feel saddned. I am a US Navy disabled Veteran with a service animal. I've had to stop using Air Bnb because of so many of there rentals didn't want to accept my service animal, which I depend on for my PTSD. I don't have an issue with anyone, even Air Bnb wanting to help with the crisis in Afghanistan, but I feel so betrayed when I search for vacation stays over and over and I get so many refusals for my service animal. The only thing left for me is to remind all that freedom isn't free. Many service men and women like myself sacrificed so much for our freedoms. My health is now decaying from my military service and to have AirBnb turn their back on me was like a dagger to my heart. All I have left is to say....you're welcome. I would risk it all again for my Country. God bless the USA"
583,Andre Nolan,GB,3 reviews,"Friday, August 27, 2021, 03:15:33 PM",1,Disgusting I complained and requested a…,Disgusting I complained and requested a part refund...... nothing just been told case closed. So you can have a shed rent it with fake pics and just ignore all requests and messages and keep on doing it. Never again
584,ED,US,2 reviews,"Friday, August 27, 2021, 06:29:13 AM",1,I have been trying for 3 hours to make…,"I have been trying for 3 hours to make a reservation.  Airbnb can't do it over the phone although my account has been verified.  Some glitch has prevented me from securing the residence I would prefer to stay, and Airbnb can't do anything about it.  Pitiful.  I'm getting a hotel for only about $20 difference.  Useless site."
585,Michael Mills,US,1 review,"Thursday, August 26, 2021, 09:02:36 PM",1,Airbnb support refused to enforce refund agreed to by host in writing,Airbnb support refused to enforce a host's written agreement (in writing in the Airbnb platform) to issue a refund in connection with an early check out when the air conditioner in the host's condo broke. Host refused to honor agreement she made 2 days after we had checked out early with her consent and agreement as to amount of refund (all in writing). Airbnb refused to do anything about it after supposedly conducting an investigation. I even showed them that the host was illegally renting her condo based on local law to show them how dishonest she is. Do not use Airbnb if you are a renter. If anything goes wrong you will not get help from them.
586,heidi,US,1 review,"Thursday, August 26, 2021, 08:50:51 PM",1,A nightmare,A nightmare! Talk to 6 people over many days… put on hold forever. 16direct messages. I lost my potential refund because they kept pushing me off to the next person… it is a sh-t show!
587,Oxiom Spa,GB,1 review,"Thursday, August 26, 2021, 05:06:45 PM",1,Very disappointed  of the polices of…,"Very disappointed  of the polices of cancellation on Airbnb I have book a flat for all the weekend and because of an emergency I have cancelled on time with at list 48h ahead but them policies are not for helping client’s are for just taking your money and 0 solutions for you as a customer I haven’t received any money back and the the host win 216£ ,  telling me maybe in future will do something as a discount for me in case that I will book again ignoring the fact that I have said I’m new on Airbnb and I wold prefer to just have at list a partial refund From the customer service I received , just I’m So sorry 😞 Also if you go to the cancellation policy when you book it’s nothing there to can see referring to this I decided to share my experience as I was so sad and just for you to know twice before you book"
588,AJ,US,1 review,"Thursday, August 26, 2021, 04:16:39 PM",1,Birthday weekend ruined by airbnb,"Some friends and I chose to AirBnb a place to stay in Boston for my birthday weekend. The host advised that the unit was cleaned that morning and we can check-in at anytime. Great. When we checked in we were immediately greeted with the most unbearable smell of garbage in the unit. It literally smelled like an open bag of warm trash on a hot day. I immediately contacted the host and left the unit. After several hours of not hearing from him, I decided to cancel the stay and find a hotel for the weekend. 3 days of messaging back and fourth with the host and airbnb's customer service team, it was decided that I was not eligible for a refund because I did not document (they wanted a picture of the smell) the situation at the unit, and I did not give the host a chance to correct the issue. 1. I have messages confirming the unit was cleaned prior to my arrival. Why does the unit smell like actual garbage?2. The host did not reach back out to me for hours. Just long enough for me to decide to spend more money on another place near Boston. Why was the host not available for that long after I had just checked into the unit?3. How do you take a picture of a smell?Airbnb is a terrible app that uses its policy to protect hosts that don't properly clean their apartments. In this day and age of covid and now a delta variant it is completely unacceptable for airbnb to charge people good money for smelly & unsanitized spaces and using their policy to protect their hosts.I will rent a stay at the morgue before I rent with Airbnb again."
589,LasseKruseLarsen,DK,12 reviews,"Thursday, August 26, 2021, 06:40:53 AM",1,Withholding credit for no reason,"They refuse to give us credit for a cancelled reservation. 6 calls, customer support needs everything explained from start every time. Still no credit in our account."
590,Riza,JP,1 review,"Thursday, August 26, 2021, 03:10:09 AM",1,SCAM!!!,"I've been used AirBnb so many times but I will never use it again. I couldn't get refund even though host accepted refund. AirBnb customer service says '' you can receive refund coupon instead of money back'', which is fine to me, but I've never received it. I asked customer support and all they said '' your case would solve by someone and please wait till someone contact you'' but it happened so many times. Even though other supporter contact me again, I had to explain everything everytime. In surface, they seems very helpful but actually they never solve issue. It's been nearly a year since I haven't received refund. Still they say `` you can get refund and someone would contact you''. I feel like AirBnb is SCAM!!!I will never use it again."
591,Randall Trejos,GB,10 reviews,"Wednesday, August 25, 2021, 09:33:03 PM",1,"Hostile towards hosts, won't honor their own policies.","We had guests destroy property in the house and then denied to pay anything for the damages. Took it up with Airbnb since their host guarantee is there precisely for these types of events. After providing them with evidence of all the damages, they found an excuse not to honor the guarantee saying that I had filed the claim ONE day late. Yes, not on the 14th day but the 15th after the guest had left. It didn't matter that we tried to explain that we were abroad and had just returned to the country the day before the claim. They stoped answering emails. Absolutely unprofessional."
592,Matthew,GB,42 reviews,"Wednesday, August 25, 2021, 06:56:14 PM",1,"Do you give 20,000 Afghan refugees a…","Do you give 20,000 Afghan refugees a room plus 828 illegal immigrants any chance you home Britain’s homeless for free too"
593,sky Lang,US,1 review,"Wednesday, August 25, 2021, 01:47:32 PM",1,AIRBNB is a nightmare,Being a host with Airbnb is a nightmare. Their customer service is the absolute worst I have ever experienced. To solve any problem takes them months (not even weeks)!!!!
594,Hayder Rahmatalla,NZ,1 review,"Wednesday, August 25, 2021, 04:06:27 AM",1,DON’T use AirBnB,DON’T use AirBnBDue to COVID-19 lockdown they refused to refund their service fee which is $549. We travel restriction which prevents us from travelling. Very disappointed and will never use them again
595,Veneno SinDano,US,1 review,"Tuesday, August 24, 2021, 09:17:53 PM",1,"Misleading Policies, they robbed me $400","I canceled a reservation within 48 hours, and it states full refund within 48 hours, nothing else. I canceled, then I received a message stating I received a $0 refund. I contacted support and they said it's within 48 hours, but because I purchased a stay longer than 30+ days, its nonrefundable. Very misleading, they left that detail out on their phone application. I'm now down $400. I have no other money to create a new reservation. Thanks a lot."
596,Harmony Night,US,7 reviews,"Tuesday, August 24, 2021, 07:30:58 PM",1,"555. N Maryland ave., Atlantic City, NJ 08401","i stayed at this Air BnB (555 N Maryland AveAtlantic City, NJ 08401)  August 19- August 20 (2 nights), My $1500 Gucci handbag was stolen and all my acne medication. I tried contact owner and NO LUCK for 2 days we then get in contact with owner to only be told my GUCCI purse was not in room when i doubt I clearly explained to owner where I left my purse and it was gone when I packed belongings. I know for a fact I left my purse in dust bag on closet in upstairs room without the balcony. We was not in room entire stay only was there to sleep, most our time was at casino even breaking day from 11pm-next morn 7 am. I could not contact owner for 2 days. I arrived with purse on Aug 19, switched my purse out to a MCM purse to match my outfit, I clearly took my blue Gucci $1500 purse and put it in my dust bag and sat it in closet. PLus the area is nothing but cr*ckheads and Pr*stitutes. Picture look good but when in person the bathrooms, kitchen and lounge area need serious upgrading for price charging for crap place. Thieves Thieves Thieves"
597,Vick Bauer,US,1 review,"Tuesday, August 24, 2021, 01:57:21 PM",1,Horrible worst service I have ever…,Horrible worst service I have ever experienced
598,jason lawrenson,NL,5 reviews,"Tuesday, August 24, 2021, 07:28:23 AM",1,Airbnb will literally rent anything for money,"I recently booked a unique stay from Airbnb's web site. It was supposed to be a unique stay, a house boot in Naarden The Netherlands. After finding a number of issues which were reported it was made apparent by the guy fixing the problems that it was busy because what I had booked was part of 300+ accommodations in The Netherlands. my unique stay was part of the marinaparcs.com setup. This kind of answers the reason why it took literally weeks to answer any questions I asked on the message service on Airbnb. The so called owners Huub & Sylvia are simply working on filing rooms for Marina Parc. This also explains the lack of cleaning and upkeep on the unit. After making a complaint to Airbnb they said no refund would given because the other complaints I had were later than 24 hours of arrival which I thought was harsh because the other complains were not made apparent until 2 days later. Airbnb also said that ""our host can lease any property under their name as long as the listing is under their account. The listing is not limited to guest owning the property so long as the host doesn't have any issues with the landlord"". So there you have it folks, make sure you go though your property with a fine tooth comb and within 24 hours and be happy that your not so unique stay is making the larger companies richer because they are no rich enough.No refund was offered - No apology was offered."
599,Patrisha,AU,1 review,"Tuesday, August 24, 2021, 04:43:19 AM",1,Disgusted and appalled with air bnb and host,"Back in April 2021 I booked a trip for Canberra for the July school holidays, there was zero signs of covid cases and we hadn’t been in any lockdowns for a very long time. End of May NSW went into lockdown. I contacted my host April regarding this and she was happy to reschedule for September school holiday, which I thought would be fine as the alternative was only getting back 50%. However we have now been advised lockdown will continue for NSW until end of September, lockdown has been continuously extended for us. Canberra also went into lockdown a couple of weeks ago and I was surprised that my host April didn’t cancel my accommodation as both states are now in lockdown. I spoke to April  about a full refund as legally speaking ACT and NSW have stay at home orders and are in lockdown, and I can not enter ACT or use this accomodation. To this my host responded I will only get back 50% of the full amount I have paid for my accommodation, and that she can give me credit that will last 1 year but she has NO available dates after November 2021 for this accomodation right now. Which made zero sense to me, why would I take credit when the host can’t even give me a date that the accomodation will be available again next year. I refused and went back and forth between air bnb and April. Air bnb was of no help, they kept quoting that it is up to the host and this does not count as excruciating circumstances and does not qualify for a full refund and that I would have to work something out with the host. My greedy host April advised its her decision and that air bnb can’t go over her decision. She kept saying no to a full refund and kept advising this is “the best she can do”, and that “covid has impacted small businesses for her too”. Which is funny for someone who has 13 PROPERTIES listed on air bnb. The rich get richer. At each time I gave 1 month notice and this still wasn’t good enough. Air bnb kept their service fee of $100 and refused to refund this to me, and the host kept 50% of my accommodation. I will never again book with air bnb. I’m so disgusted with how I was treated, I even asked air bnb to lodge a formal complaint and all I kept getting was “the only option is to lodge a feedback.” What a joke, considering the feedback form section advises that it may or may not be looked into as it’s only FEEDBACK."
600,Dat Tran,US,1 review,"Tuesday, August 24, 2021, 04:34:33 AM",1,Lost my deposit for COVID-19 cancellation,I had to cancel my stay because of surging COVID-19 so AirBnB and its host kept half of my deposit even though. I am very disappointed at AirBnB COVID-19 policy. Other hotels gave full refund. I will never use AirBnB again.
601,Renee Ariel Martinez,US,1 review,"Tuesday, August 24, 2021, 02:57:41 AM",1,No  cancellations,No  cancellations? No refund? THIS IS A SCAM and seriously the host can say no refund if you do not stay or if you cancel the reservations? NOT WORTH IT - rather get a motel room- at least they except  a cancellation. Don’t bother trying.
602,Username,US,1 review,"Monday, August 23, 2021, 11:53:33 PM",1,LEFT STRANDED IN A DIFFERENT CITY BY AIRBNB!!,"I would give negative stars if I could!WE WERE LEFT STRANDED IN A DIFFERENT CITY BY AIRBNB!!! DO NOT USE THIS SITE EVER! They did nothing to help and took days to respond to my messages! They promised me multiple times to cover the cost of a new place and then did not keep there word. They also promised me a refund of the other place we booked by mistake after they screwed us over. They promised me a call that I never received then refused our refund they promised us multiple times. Trust me, don’t risk having no place to stay on your travels and only being screwed out of your money even more after, with terrible customer service response time."
603,Steve Burrows,CA,1 review,"Monday, August 23, 2021, 08:32:56 PM",1,As a Host,"As a Host, I can say that Airbnb gives terrible assistance. They locked my account because of a guest complaint that was later found to be unfounded and posted by a fake profile who severely damaged my property. During that time, I was required to honor all the previously booked stays but couldn't accept new ones. So, I wasn't even able to rent out my apartment in any other way. Recently, i got an instant booking - even though I have had my account on snooze since March of 2020 (1.5 years ago) - and was charged $100 for canceling within 1 hour of receiving the booking. When you go to turn off the auto booking feature, it says ""you can cancel penalty free""... hmmm... that doesn't sound completely true now, does it."
604,Miss Anastasia  Kuznetsova,GB,11 reviews,"Monday, August 23, 2021, 08:08:24 PM",1,Chat bot service with real people,"See lots of bad guest reviews, but trust me hosts are treated quite bad too! I had to switch to long term rental as I have run out of days for short term let in London. When you do it on the app it asks to remove the limit and than asks to set monthly price. In a few hours I got a 3 month reservation but it was calculated on a nightly price (which I didn’t set, as I always set prices at the time I open dates - so it used random base price I used long time ago for smart pricing. Also when you set monthly price it clearly states on the top it will overwrite any daily rates and discounts). I contacted their customer service as I could not find where this monthly prices are, I was told I could not see or amend them in the app (so I can set them in the app but can’t see them or change them in the app - billion dollars company!). The agent sent me screenshot to show those prices…which were set as they could see it. Explained they are used prorata 1st to 30th or whatever end of the month. So guests can only book full months, only strictly 1st to the end? I didn’t get an answer for that, it was ignored. I said fine…days falling out should be counted daily but what about full months in between which are taken beginning to the end - no answer? Reply I got that I never set the monthly price in the first place for that reservation. Although I did set as per the app requirements…did not have access to it after it was set and agent sent me screenshot confirming it. Absolutely low quality, just slightly better than chat bot customer service. No knowledge of their product, no responsibility, poor app, no supervision. What their management team is doing is a secret! They have submitted a review report which came out with the same information…so I actually see something in their chat but real people tell it’s not that case, I even start to doubt if it  is me who is an idiot as they are so convincing in their ignorance. But I know what their finance team does that’s for sure! I am in shock as I like Airbnb but clearly only until everything works. So poor!"
605,Crastaing,MX,1 review,"Monday, August 23, 2021, 06:14:28 PM",1,"Stealers, scammers with an awful Customer service!","These platform of robbers is unacceptable. It was written I could cancel a reservation and get back my money and after 8 days we can't still cancel nor see money. I keep loosing my money and my host too as cannot cancel nor accept these days. These stealers keep sending auto msg on FB and their agents replied me after a week telling me that I have to find a deal with my host. I replied that the cancellation didnt include any deal, it was written I could cancel anytime and get back my money less the night I stayed and the following one from the cancellation. We are still playing with their awful customer service without getting nor a solution nor a proper responde. I am curious to see now if I have to pay for their bugs in the platform that didnt allowed us to cancel and my host too for the days couldnt book. I am really curious if we will be both refunded of the whole money lost these 8 days or these stealers will keep stealing all our money"
606,Camilla,DK,3 reviews,"Monday, August 23, 2021, 01:57:27 PM",1,WORST EXPERIENCE EVER,"WORST EXPERIENCE EVER! I CANNOT RECOMMEND AIRBNB! So this was my first and last time booking via Airbnb.Booked a house for approx 2.800 EUR in Spain for my birthday for a weekend many months ahead. I had invited guests, made travel arrangements and other arrangements in Spain for the weekend. A few hours before check-in, the host calls me and cancels due to a supposedly 'water damager' which they btw could not prove via pictures or otherwise. I then spent 5 hours on the phone with Airbnb during the night to try and get them to first of all talk to the host to get the official cancellation (which took them 2 hours) and then try to resolve and find us another accomodation which they never did. I could not get an answer to any of my questions, could not get any help or resolution.Due to the late cancellation I got stock with additional costs for arrangments of 3.000 I had paid in advance that I could not get reimbursed.So I ended up with no house and an additional cost of 3.000EUR, which Airbnb did never covered any of.The case is still ongoing and is shuffled between different customer agents still with no help or answer to any question.I will never use Airbnb again and cannot recommend it to anyone!"
607,debbie ,US,3 reviews,"Monday, August 23, 2021, 01:49:19 PM",1,A different type of LOCKDOWN!,I have always been Airbnb's biggest supporter...until last week. My husband and I always had great experiences with Airbnb...using them quite often to visit our 5 sons who live all over the country.  Last week we booked a home for November...we got the approval and payment was made.  Less than 2 hours later the reservation was cancelled and our account was locked..I called and NO ONE could tell me why...I have now been waiting 2 weeks for a call from management with an explanation. It all worked out in the end...we were able to book the same place using a local vacation rental company for $250.00 LESS!!!!  Try VRBO or HomeAway...they are much kinder and reliable!!!
608,J S,NL,1 review,"Monday, August 23, 2021, 01:12:44 PM",1,Misrepresenting photos for rental,"I rented an apartment in Portugal through airbnb for over Eur5.000. Upon arriving in the apartment the photos have clearly been misguiding, photoshopped and in a very dirty state. I appealed to Airbnb without success. This is the LAST TIME I ever used airbnb. Bummer for airbnb since I could be a very good client for them..."
609,Mbourmad,LY,4 reviews,"Monday, August 23, 2021, 12:02:12 PM",1,Airbnb doesn't hold hosts accountable…,"Airbnb doesn't hold hosts accountable for manipulating location pin if it is in the circle (500 meter distant) and the renter is their victim while host is their heroThe support agent was really one sided. She totally understand how the host manipulated the pin drop of his location but she choice to close the case. I objected to close the case based on the strong evidence that the host location was 500-700 far away with a high way splitting the two area.She was objecting to help me in getting a full refund from the host. When I ask her to explain why she said it doesn't matter where is the pin dropped but it is about the circle with a radius on a map. This is absurd because the host's real address was almost on the margin of the circle (500m distant). This was not enough for her to hold the host accountable. She said the the pin drops automatically by the system and the host cannot change it. However, this is not true because any host when listing his location can easily manipulate the pin. She at this point refuses to re-investigate or change her decision to close the support ticket or even to refer me to other agent because I quote ""of how this would perceive negatively by her superiors"" (who might advice her to just close the ticket) .I have provided all the evidence about the huge inequality between the two areas as 500 meter distant in a city centre can be two different areas and not to mentioned the high way that splits the two apart. The georgical features of each is very unique. The host's real address was in the bottom of the valley in a very difficult terrine and the city centre (Taksim, Istanbul) was in top of the hill. Also the real host area was not touristic and very danger even for the locals as it is known area for selling and buying drugs. This was not enough for the agent to re-investigate the case, refer me to another agent with willingness to investigate or hold the host accountable. Instead, she wants me to accept that she closes the case and be victim of the manipulative host. Hell, no. I booked for a month paying almost 700$ for this crappy location was not my ideal plan to spend my holiday in Istanbul.Luckily, I have confronted the host and demanded a full refund immediately which he to my surprise released instantly after calling out his manipulative behaviour of reallocating the pin somewhere else to attract renter so Airbnb can bully later on.In summary, airbnb must hold hosts accountable for these manipulative practices and sided with facts and evidence instead of what is easy like closing the dispute to look good in-front of superiors. My experience taught me to never the trust the airbnb's PIN.I hope Airbnb improve in how they treat those who rents and stop supporting those manipulative hosts. Taking sides with hosts against vulnerable clients like me who trusted you with our own funds is victimizing.Learn from Amazon and Ebay,Reservation detailsConfirmation codeHMDJQKZMYB"
610,Ana Mariat,DK,4 reviews,"Monday, August 23, 2021, 09:23:52 AM",1,Worst experience,"Worst experience. I keep declining for my experience and I am trying to contact them through the chat and I have talked with many of their agents. They say the same thing. 'Your issue will go to our higher team.' But, I never hear from them like ever. Is so annoying comparing to similar sites like Viator."
611,Suzi Graham-Beer,GB,10 reviews,"Monday, August 23, 2021, 08:52:37 AM",1,Gradings based on areas which aren’t part of the let,"As a host, my rating was downgraded based on reviews of communal areas which aren’t communal!! Guests can review on areas which aren’t part of the let such as a kitchen, or entrance area. We are encouraged to charge rock bottom prices which don’t allow for the provision of new carpeting and a pristine kitchen. I’ve told Airbnb about this but they insist that it’s ok to review communal areas which aren’t open to guest use."
612,Alice Waugh,GB,3 reviews,"Monday, August 23, 2021, 08:00:57 AM",1,Absolutely disgraceful company They…,Absolutely disgraceful company They argue about legitimate  I D photos and never answer emails Charge extra for online chats DO NOT USE them They are money grabbed with no interest in their customers
613,Margaret Faulkner,AU,1 review,"Monday, August 23, 2021, 07:49:16 AM",1,My review is about a customer of ours,My review is about a customer of ours. They cancelled a day after they were supposed to have used our studio. They asked for a refund after the fact. They said the building was too noisy. Out of courtesy we have given their money back however who is to say they didnt use the room and then just clean up. Host s put up with a lot.
614,Tess S,GB,5 reviews,"Monday, August 23, 2021, 07:30:13 AM",1,Don’t use AirBnB,"Don’t use AirBnB. Booking.com is a much better site rewarding customers for their loyalty which I can’t say much for AirBnB. Booked a place using my well earned voucher from being a superhost. Extenuating circumstances relating to the current COVID situation meant I had to cancel. Although they provided a free cancellation on the property, AirBnB kept the $100 voucher and refuse to issue a refund on this. Absolutely shocking and will never use their service again."
615,Je,GB,3 reviews,"Sunday, August 22, 2021, 10:16:41 PM",1,Awful company that takes no interest in…,Awful company that takes no interest in their customers or listen to the feedback that they provide. Extremely inflexible company.
616,GN1330,US,4 reviews,"Sunday, August 22, 2021, 08:43:35 PM",1,Horrible Host/Worst Customer Service,"A host wrote a review that lied. It stated ""history of booking stay and cancelling."" But understand this is not about the host however bad he really was. Airbnb refused to removed the review ever though it was lies. To undestand my wife and I had to leave in the middle of the first night of a two night stay because of noise and a flood light shining into the bedroom from the property. I talked to customer service at least five times trying to get a refund and removing the review. The only reason they could gives is that it did not violate policy. So, how is lying not a violation. Be warned Airbnb will always side with host."
617,Karen Leigh-Jones,GB,3 reviews,"Sunday, August 22, 2021, 05:06:45 PM",1,Awful customer service,"After an awful experience with a property booked through Airbnb, I  followed the complaints procedure firstly messaging the host, when he didn’t respond I contacted the resolution centre when host failed to respond again I asked for Airbnb assistance. Yet again the host couldn’t be contacted and Airbnb response, we cannot process a refund if the host doesn’t agree.   How can Airbnb allow a host to continue to advertise on their platform without any recourse.  Unbelievably poor customer service."
618,Denise Atherton,GB,1 review,"Sunday, August 22, 2021, 01:14:18 PM",1,I will never use Airbnb again,I will never use Airbnb again.  Ended up cutting our holiday short due to the host not communicating well.  Tried to get a refund snd Airbnb did nothing.  Will never use them again
619,Sonja Bos,US,1 review,"Sunday, August 22, 2021, 12:08:21 PM",1,Airbnb is not a trustworthy partner for…,Airbnb is not a trustworthy partner for hosts.Guests can do what ever they want without any suspensions…
620,Ioan Macinca,US,1 review,"Saturday, August 21, 2021, 07:44:39 PM",1,Airbnb allows anyone to rent a property…,"Airbnb allows anyone to rent a property regardless of the property conditions. I had recently a terrible experience with the property I rented (Cozy Cedar Mountain Cabin) and Airbnb didn't even bother to reply to my complain. Do not waste your money with Airbnb, that was last time I used their service."
621,Trill Team,US,3 reviews,"Saturday, August 21, 2021, 06:24:21 PM",1,Marianne Harper and Airbnb Are The WORST!!,"This will be the very last time that my family and I would EVER book through Airbnb!! My husband and I just experienced the most horrific and inhuman experience with Airbnb and one it’s host Marianne Harper. I agree with one of other reviews that the customer is never right. On 08/20/2021 Marianne Harper at Lakefront Wharf #1932 wrongfully evicted my husband and I because we complained that the air conditioner did not work. Even after setting the air to 65 degrees Fahrenheit it still felt as though it was 95 degrees in the unit! We called Marianne and she told me to play with the breaker box. She also was upset because I told her the elevators weren’t working properly and that we had to walk 19 flights of stairs to our unit. She said that the condos were privately owned and the elevators had nothing to do with her and the owners unit. There were two sets of balcony furniture one that looked to have been intentionally turned over to stage a vandalism setting and one that wasn’t. When I brought this to Marianne’s attention she told me that I could simply pick it up and that maybe the storm knocked it over. Marianne Harper Is probably one of the worst human beings I’d ever come into contact with. Even from previous reviews on Airbnb It’s not unlikely to see Marianne respond to many of her paying customers in passive aggressive, inconsiderate and condescending ways! When I brought this to Airbnb’s attention the sense of urgency and the lack of empathy was simply shocking! To be 300 miles away from home and wrongfully evicted with no immediate refund is just a very traumatic and helpless feeling!! I was told by Airbnb that basically there was nothing they could do because it was 12 am. They told me numerous of times that a case manager would reach out to me and I still haven’t heard from anyone. My husband and I paid $694 to be treated worse than an animal! We were forced to purchase another hotel and No one seem to care not Marianne and certainly not Airbnb. In fact Airbnb representative told me to provide proof that the air conditioning unit was not working. When asked how would I accomplish that she told me to get a thermometer which seemed completely absurd because we were being evicted by security and even police!! I told the representative that I don’t walk around with a thermometer in my pocket! I just feel so hopeless and helpless because there is literally no one that will advocate for you as a customer!! Airbnb protects the host even when they’re wrong and it’s so unjust! I will from now on book through a hotel because at least I know if something went wrong they will work to serve their customer!! I am truly disgusted and all I can really do at this point is ask God to advocate for me!A totally DISGUSTED CUSTOMER!"
622,Customer,US,2 reviews,"Saturday, August 21, 2021, 03:22:55 PM",1,Airbnb: the customer is never right,"Over the years of international studying and traveling, I’ve often used Airbnb. Of course hosts in every country will differ in communication style, lodging, hospitality, and overall experience. Sometimes this is welcomed as an alternative to the hotels. However the negative experiences I’ve had came from Airbnb’s own policies, technology,  and their lack of authority in host/guest disputes.The most recent experience with a booking was the last blow to an already strained relationship with this company. As a customer/ guest/ traveler, I accept my responsibilities to the host and the fluidity of situations. However when there is something the company can do in the view of blatant abuse of policies, this is moment where the company can gain or completely lose my trust. I booked a three day stay at a studio apartment in Budapest the morning of. It was called Funhouse Center and hosted by a Super Host named Thibault. Upon arrival, the host had sent a friend of a friend to meet me. And the apartment was in a sad state compared to the pictures they advertised. There must be something to the equivalent of being catfished by an Airbnb lodging. I hate when people complain about the tiniest details like a hair on the floor or a fly on the wall. That stuff happens but won’t ruin the whole experience. I don’t consider myself a high maintenance traveler but walking into an apartment with brown stains on the curtains, curtains hiding unkempt odds and ends like a storage space, and run down decor with visible repair attempts should not be using its super new photos and asking for top hotel prices (Ibis next door asks for $78/night). I wanted to cancel my booking and was prepared to face the 50% booking fees. However if a booking is $278 and the refund is $101, that doesn’t seem like 50% to me. The host was very responsive until the moment I was not willing to stay at “Funhouse Center.” How would you feel if you did not want to stay somewhere because they gave the impression of a high end booking but you find it to be a glorified storage facility? And they business guys are too busy counting their loss to give you a refund? $178 profit for tricking visitors is actually easier than running a proper Airbnb. Well done. Hello, Airbnb customer service. What do your agents think? They don’t. They are told to follow the policy. Well this wasn’t a different apartment but had they posted actual pictures of the actual conditions, I would have have given this place a hard pass. No thank you! $83/ night let me find a hotel. So if you are ok with this kind of customer service in response to business people who make money on a 50% refund policy, go ahead and book your vacation. I didn’t come all the way for this and I will not stay in this sad neglected room. In many ways, this is a metaphor for Airbnb as a company. Once a beaming bright company with potential. And now, left on auto pilot and has not pushed for improvement. It’s going to accommodate as well as a guest is desperate. I have great respect for Hungary and their people, and this will not mar my impression of that. But to run a business this way and not take any responsibility will not encourage tourists or much else."
623,Blue Line Apartment Hotel,ES,1 review,"Saturday, August 21, 2021, 01:57:15 PM",1,Horrible Customer Service,I have received warning and written threaths by a guest in the chat and the customer service team has not done absolutly anything about it. Apparently the guest is always right even if he gives bad treatment to the host.
624,Laura,AU,1 review,"Saturday, August 21, 2021, 12:28:34 PM",1,DO NOT BOOK WITH AIRBNB,DO NOT BOOK WITH AIRBNB. We have paid for accommodation and due to Covid laws in place we are unable to travel. We were happy to go in credit or change the dates however we were told no. I think we were being reasonable however now we want a full refund because they have been so unprofessional. Basically we are told bad luck nothing can be done. I’m so furious. How are they getting away with this. This needs to stop. They can’t provide us with a service because we need to follow covid laws that are in place by our government and they are happy to still take our money! This is theft! SO MAD!! So sad to hear that this is happening to so many other people too with Airbnb.
625,PG,SE,6 reviews,"Saturday, August 21, 2021, 10:46:33 AM",1,Boicott them,Unfortunately it Is not possible to give Airbnb  0 stars here. Beware of this Company that ask you to supply id and Photo on top of your bank details.  They withold your funds and profit from you and force you to obay to their political agenda. They ask you to comply with a lot of demands but give no service and Customer service. Don't use this Company.
626,Kaylee Adams,US,1 review,"Saturday, August 21, 2021, 12:24:27 AM",1,AIRBNB is by far the worst company with…,AIRBNB is by far the worst company with the worst customer service i have every experienced in my life. Please give me my refund back i was promised and am not being told is processed effective july 15!! I have already reported them to the BBB.
627,Danny,US,2 reviews,"Friday, August 20, 2021, 07:03:47 PM",1,Airbnb has been the WORST company i…,"Airbnb has been the WORST company i have ever dealt with. I booked a 4th of July room and 3 days before they canceled my reservation and STOLE MY MONEY because of an arrest I had 23years ago when I was 18! They were fine to make me make an account, they verified my account in 2017 and now in 2021 they pulled this SCAM on me! Instead of denying my account back in 2017 when they verified it and allowed me to book! This is really Sad Airbnb will Steal from a Consumer!"
628,Ian Gardner-Long,GB,18 reviews,"Friday, August 20, 2021, 04:04:29 PM",1,Continuing  on my Guernsey  apartment …,"Continuing  on my Guernsey  apartment  review. I've been checking on airbnb but my review to them as mine on here, not been published. Despite contacting  airbnb nothing has happened,  they said reviews not necessarily  published in date order. How stupid . Surely most recent reviews need to appear on airbnb. No point publishing  reviews from 2 years ago. Pointless. Airbnb needs to get its house in order."
629,Adrian,GB,24 reviews,"Friday, August 20, 2021, 10:37:11 AM",1,I have given one star because I can't…,"I have given one star because I can't give any less. I have tried to make a reservation this morning but can't get through the verification process. They were quick enough to take the money before I was forced into the verification process. Couldn't enter my date of birth. Couldn't find my address in the Dropbox. And as for taking a verification photo, that's the most complicated thing I have found. And now after hanging on the phone for 45 minutes I still don't seem to be able to get my money back"
